Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Fund Type,Inception Date,Benchmark Index, NAV , 52 WeekHigh (NAV), 52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%), No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks
ICICI Pru Retirement Fund-Pure Debt Plan(G),Darshil Dedhia,HY-SOL,1,106.3,2.18,Open Ended,27-Feb-19,NIFTY Composite Debt Index,15.00,15.00,13.82,1.40,2.94,4.47,8.62,7.42,6.42,6.15,-,0,-,-,-,-,-,-,8.77,3.72,7.41,0.16,0.54,0.83,0.05,1.22,Hybrid : Solution Oriented,Nil
ICICI Pru Retirement Fund-Pure Equity Plan(G),Lalit Kumar,HY-SOL,4,1073.7,2.18,Open Ended,27-Feb-19,NIFTY 500 - TRI,29.41,32.06,26.49,3.20,2.16,-2.72,4.97,28.97,20.93,28.52,-,46,81,71154,45.3,28.52,23.04,Financials,0.01,0.01,5.27,0.43,0.29,0.60,0.96,14.75,Hybrid : Solution Oriented,Nil
ICICI Pru Rural Opportunities Fund-Reg(G),Sankaran Naren,EQ-THEM,Unrated,1282.2,2.16,Open Ended,28-Jan-25,Nifty Rural - TRI,10.54,10.68,9.39,4.96,5.27,-,-,-,-,-,-,-,36,195547,67.91,13.5,4.42,Financials,-,-,-,-,-,-,-,-,Equity : Thematic,1% on or before 12M Nil after 12M
ICICI Pru Savings Fund(G),Nikhil Kabra,DT-LOWD,5,21473.6,0.53,Open Ended,27-Sep-02,NIFTY Low Duration Debt Index,537.74,537.74,497.03,0.99,2.40,4.12,8.18,8.01,7.36,6.75,7.33,0,-,-,-,-,-,-,1.92,0.90,7.57,0.20,1.09,1.03,0.22,0.84,Debt : Low Duration,Nil
ICICI Pru Short Term Fund(G),Manish Banthia,DT-SD,5,20427.7,1.02,Open Ended,25-Oct-01,Nifty Short Duration Debt Index,59.62,59.62,54.70,1.34,2.96,4.70,9.07,8.13,7.60,7.11,7.56,0,-,-,-,-,-,-,4.88,2.83,7.60,0.18,0.98,1.12,0.30,1.01,Debt : Short Duration,Nil
ICICI Pru Silver ETF,Gaurav Chikane,GOLD-ETF,Unrated,4798.6,0.40,Open Ended,24-Jan-22,Silver,95.07,101.56,79.96,-6.56,1.82,-4.44,16.62,12.17,12.61,-,-,-,-,-,-,-,-,-,-,-,-,0.59,0.12,0.23,0.25,21.77,Gold : ETFs,null
ICICI Pru Silver ETF FOF(G),Manish Banthia,FOF-DOM,Unrated,1152.9,0.60,Open Ended,01-Feb-22,Silver,14.60,15.51,12.35,-5.75,2.66,-4.26,16.35,11.51,12.76,-,-,-,-,-,-,-,-,-,-,-,-,0.30,0.12,0.23,1.27,19.99,FoFs : Domestic,1% on or before 15D Nil after 15D
ICICI Pru Smallcap Fund(G),Anish Tawakley,EQ-SML,3,7392.4,1.83,Open Ended,18-Oct-07,Nifty Smallcap 250 - TRI,78.87,93.01,72.10,2.42,-2.76,-10.44,-0.78,20.08,16.11,32.68,14.10,56,108,16274,8.78,8.53,69.38,Chemicals,-,-,-,0.19,0.23,0.43,0.68,14.95,Equity : Small Cap,1% on or before 1Y NIL after 1Y
ICICI Pru Strategic Metal and Energy Equity FoF-Reg(G),Sharmila Dmello,FOF-OVR,Unrated,97.3,1.49,Open Ended,02-Feb-22,NYSE Arca Gold Miners Index,16.23,17.11,13.63,-3.72,3.69,5.73,11.13,8.98,10.02,-,-,-,-,-,-,-,-,-,-,-,-,0.36,0.08,0.15,0.28,22.60,FoFs : Overseas,1% on or before 1Y Nil after 1Y
ICICI Pru Technology Fund(G),Vaibhav Dusad,EQ-TECH,Unrated,12731.4,1.79,Open Ended,03-Mar-00,BSE TECk Index - TRI,187.50,225.87,163.44,0.24,-10.06,-9.32,11.22,20.70,9.14,29.55,17.36,45,72,95259,64.6,10.08,14.26,Technology,-,-,-,0.05,0.06,0.12,1.00,18.25,Equity : Sectoral - Technology,1% on or before 15D NIL after 15D
ICICI Pru Thematic Advantage Fund(FOF)(G),Sankaran Naren,FOF-DOM,Unrated,2595.4,1.48,Open Ended,18-Dec-03,NIFTY 200 - TRI,216.40,221.67,179.70,4.33,4.63,1.44,17.48,26.60,19.28,28.21,15.64,43,-,-,-,-,-,-,-,-,-,0.53,0.34,0.72,0.73,10.95,FoFs : Domestic,1% on or before 1Y NIL After 1Y
ICICI Pru Transportation and Logistics Fund-Reg(G),Rajat Chandak,EQ-AUTO,Unrated,2862.3,1.98,Open Ended,28-Oct-22,Nifty Transportation & Logistics - TRI,17.03,20.27,15.40,4.24,-0.35,-5.03,3.98,28.79,-,-,-,51,39,103795,69.36,11.08,13.88,Automobile and Ancillaries,-,-,-,0.17,0.36,0.67,0.87,14.83,Equity : Sectoral - Auto,1% on or before 1M Nil after 1M
ICICI Pru Ultra Short Term Fund Fund(G),Manish Banthia,DT-USD,5,12673.8,0.80,Open Ended,03-May-11,NIFTY Ultra Short Duration Debt Index,27.39,27.39,25.48,0.80,2.08,3.79,7.50,7.35,6.79,6.10,7.06,0,9,-,-,-,-,-,0.66,0.44,7.53,0.18,1.63,0.93,0.14,0.47,Debt : Ultra Short Duration,Nil
ICICI Pru US Bluechip Equity Fund(G),Ritesh Lunawat,EQ-INTL,Unrated,3019.1,2.00,Open Ended,06-Jul-12,S&P 500 ,57.70,65.24,51.94,-2.27,-11.19,-8.38,1.07,8.56,10.95,12.80,12.28,67,62,-,-,-,-,-,-,-,-,0.18,0.09,0.17,0.97,17.98,Equity : International,1% on or before 1M Nil after 1M
ICICI Pru Value Discovery Fund(G),Sankaran Naren,EQ-VAL,4,49131.2,1.54,Open Ended,16-Aug-04,NIFTY 500 - TRI,451.91,479.11,392.37,3.40,4.68,-0.21,12.03,26.32,21.08,29.78,14.94,46,68,354408,76.83,7.95,3.74,Financials,-,-,-,0.57,0.35,0.76,0.76,11.85,Equity : Value / Contra,1% on or before 12M Nil after 12M
Invesco India - Invesco EQQQ NASDAQ-100 ETF FoF-Reg(G),Sagar Gandhi,FOF-OVR,Unrated,351.2,0.40,Open Ended,21-Apr-22,Nasdaq-100 - TRI,15.76,17.87,13.77,-1.18,-11.47,-5.14,10.89,25.37,19.39,-,-,-,-,-,-,-,-,-,-,-,-,0.67,0.22,0.39,0.63,19.45,FoFs : Overseas,Nil
Invesco India - Invesco Global Consumer Trends FoF-Reg(G),Sagar Gandhi,FOF-OVR,Unrated,239.9,1.54,Open Ended,24-Dec-20,MSCI World Consumer Discretionary Index - Net Dividend,8.59,10.57,6.84,-1.83,-13.10,0.09,14.57,15.17,7.08,-,-,-,-,-,-,-,-,-,-,-,-,-0.35,0.02,0.03,0.68,23.51,FoFs : Overseas,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco India - Invesco Global Equity Income FoF-Reg(G),Sagar Gandhi,FOF-OVR,Unrated,31.7,1.40,Open Ended,05-May-14,MSCI World Index-Net Dividend,26.66,28.18,23.55,-1.84,-3.95,0.53,11.85,16.95,17.27,17.44,9.28,-,1,-,-,-,-,-,-,-,-,0.56,0.21,0.40,0.57,16.01,FoFs : Overseas,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco India - Invesco Pan European Equity FoF-Reg(G),Sagar Gandhi,FOF-OVR,Unrated,37.1,0.95,Open Ended,31-Jan-14,MSCI Europe Index (Total Return Net),17.69,18.51,15.12,-0.38,5.94,6.79,4.05,7.87,12.62,14.79,5.33,-,1,-,-,-,-,-,-,-,-,0.26,0.12,0.23,0.51,18.55,FoFs : Overseas,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco India Aggressive Hybrid Fund-Reg(G),Dhimant Kothari,HY-EQ,3,617.8,2.35,Open Ended,30-Jun-18,CRISIL Hybrid 35+65 - Aggressive Index,21.65,23.28,19.18,2.37,1.20,-2.49,10.72,21.59,15.98,17.52,-,68,49,118486,40.89,15.05,8.42,Financials,4.39,3.18,7.18,0.15,0.26,0.48,1.16,11.89,Hybrid : Equity Oriented,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco India Arbitrage Fund(G),Deepak Gupta,HY-ARB,3,19675.2,1.06,Open Ended,30-Apr-07,Nifty 50 Arbitrage,31.62,31.62,29.43,0.63,1.85,3.62,7.35,7.55,6.98,5.63,5.88,1735,185,162619,46.65,18.16,6.43,Financials,0.40,0.37,6.90,0.10,1.56,1.02,0.57,0.51,Hybrid : Arbitrage,0.50% on or before 15D Nil after 15D
Invesco India Balanced Advantage Fund(G),Dhimant Kothari,HY-DYN,2,942.7,2.14,Open Ended,04-Oct-07,NIFTY 50 Hybrid Composite Debt 50:50 Index,52.09,54.39,47.75,2.20,1.34,-0.67,7.29,16.11,13.11,13.79,9.42,244,36,195705,56.25,5.2,2.05,Financials,1.37,1.12,6.69,0.20,0.25,0.48,0.63,8.78,Hybrid : Dynamic Asset Allocation,Nil upto 10% of units and 0.25% for above the limits on or before 3M Nil after 3M
Invesco India Banking and PSU Fund(G),Vikas Garg,DT-B&PSU,3,101.7,0.63,Open Ended,29-Dec-12,NIFTY Banking and PSU Debt Index,2252.82,2252.82,2057.03,1.56,3.12,4.79,9.62,8.00,6.71,6.03,6.54,0,-,-,-,-,-,-,5.38,3.78,7.04,0.01,0.38,0.57,0.52,1.83,Debt : Banking & PSU,NIL
Invesco India Business Cycle Fund-Reg(G),Aditya Khemani,EQ-THEM,Unrated,267.7,2.30,Open Ended,27-Feb-25,NIFTY 500 - TRI,10.90,11.17,9.71,4.31,-,-,-,-,-,-,-,-,33,58191,42.67,29.29,24.28,Financials,-,-,-,-,-,-,-,-,Equity : Thematic,0.50% on or before 3M Nil after 3M
Invesco India Contra Fund(G),Taher Badshah,EQ-VAL,3,17265.2,1.66,Open Ended,11-Apr-07,BSE 500 - TRI,127.78,142.97,111.61,3.49,3.15,-4.18,11.75,27.23,19.92,24.92,15.68,65,71,119450,62.52,18.33,14.16,Financials,-,-,-,0.35,0.27,0.53,0.99,14.84,Equity : Value / Contra,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco India Corporate Bond Fund(G),Vikas Garg,DT-CORP,3,5642.9,0.68,Open Ended,02-Aug-07,NIFTY Corporate Bond Index,3157.90,3157.90,2878.43,1.59,3.26,5.03,9.81,8.13,6.98,6.54,6.80,0,-,-,-,-,-,-,4.87,3.59,7.17,0.08,0.56,0.84,0.41,1.43,Debt : Corporate Bond,Nil
Invesco India Credit Risk Fund(G),Vikas Garg,DT-CR,3,144.4,1.45,Open Ended,04-Sep-14,NIFTY Credit Risk Bond Index,1917.32,1917.32,1731.60,1.35,4.85,6.59,10.84,9.25,8.84,7.14,5.99,0,1,132,-,-,-,Textile,4.32,3.11,7.24,0.20,0.45,1.19,0.47,2.79,Debt : Credit Risk,4% on or before 1Y Nil after 1Y
Invesco India ELSS Tax Saver Fund(G),Amit Nigam,EQ-ELSS,3,2638.1,1.93,Open Ended,29-Dec-06,BSE 500 - TRI,118.06,133.18,107.17,3.42,0.40,-6.04,6.83,22.84,15.32,20.63,13.19,75,60,95596,54.2,23.7,21.67,Financials,-,-,-,-0.03,0.18,0.33,1.02,15.56,Equity : Tax Saving (ELSS),Nil
Invesco India Equity Savings Fund-Reg(G),Dhimant Kothari,HY-EQ,1,398.8,2.30,Open Ended,07-Mar-19,NIFTY 50 Equity Savings Index,16.49,16.89,15.10,1.66,1.30,-0.12,8.04,14.22,10.22,9.90,-,476,72,161635,46.58,11.26,8.73,Financials,2.56,2.02,7.26,0.17,0.25,0.47,0.41,6.23,Hybrid : Equity Oriented,0.25% on or before 1M Nil after 1M
Invesco India ESG Integration Strategy Fund-Reg(G),Taher Badshah,EQ-THEM,Unrated,452.7,2.30,Open Ended,20-Mar-21,NIFTY100 ESG - TRI,16.81,18.89,15.33,3.56,-0.41,-5.96,5.96,19.43,11.76,-,-,56,36,187109,73.73,11.86,12.64,Financials,-,-,-,-0.05,0.12,0.22,0.92,14.25,Equity : Thematic,Nil upto 10% of units and 1% for remaining units on or before 1Y Nil after 1Y
Invesco India Financial Services Fund(G),Hiten Jain,EQ-FIN,2,1208.2,2.17,Open Ended,14-Jul-08,Nifty Financial Services - TRI,129.58,134.12,108.05,5.03,9.03,1.13,12.16,24.69,20.61,22.58,14.31,19,33,238307,64.04,18.09,14.95,Financials,-,-,-,0.33,0.25,0.49,0.92,16.00,Equity : Sectoral - Financial Services,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco India Flexi Cap Fund-Reg(G),Amit Ganatra,EQ-FLEX,Unrated,2572.6,1.95,Open Ended,14-Feb-22,BSE 500 - TRI,17.44,19.50,15.34,3.69,2.78,-4.34,10.76,28.10,20.87,-,-,85,56,91408,56.72,21.3,16.64,Financials,-,-,-,0.34,0.26,0.45,1.01,15.73,Equity : Flexi Cap,Nil upto 10% of units and 1% for remaining units on or before 1Y Nil after 1Y
Invesco India Focused Fund-Reg(G),Taher Badshah,EQ-FLEX,Unrated,3532.7,1.89,Open Ended,29-Sep-20,BSE 500 - TRI,26.69,29.65,23.15,2.66,3.13,-4.34,9.85,35.34,21.95,-,-,36,19,203162,66.58,16.9,9.37,Financials,-,-,-,0.43,0.27,0.50,1.03,16.41,Equity : Flexi Cap,Nil upto 10% of units and 1% for remaining units on or before 1Y Nil after 1Y
Invesco India Gilt Fund(G),Vikas Garg,DT-GILT,Unrated,953.1,1.25,Open Ended,09-Feb-08,Nifty All Duration G-Sec Index,2876.56,2880.34,2570.64,2.30,4.40,5.63,12.38,9.57,8.15,5.69,6.77,0,-,-,-,-,-,-,26.84,11.03,6.96,0.09,0.43,1.17,0.69,2.69,Debt : Gilt,Nil
Invesco India Gold ETF,Krishna Cheemalapati,GOLD-ETF,Unrated,256.5,0.55,Open Ended,19-Mar-10,Gold-India,8170.68,8615.18,6008.99,6.59,16.63,18.79,30.45,23.66,20.44,13.90,12.29,2,-,-,-,-,-,-,-,-,-,0.83,0.34,0.85,1.40,12.61,Gold : ETFs,Nil
Invesco India Gold ETF FoF(G),Krishna Cheemalapati,GOLD-MF,Unrated,141.9,0.45,Open Ended,05-Dec-11,Gold-India,26.66,28.20,19.96,5.75,15.72,17.20,28.63,22.73,20.44,12.78,11.75,-,-,-,-,-,-,-,-,-,-,0.84,0.35,0.90,1.23,12.04,Gold : MFs,Nil
Invesco India Infrastructure Fund(G),Amit Nigam,EQ-INFRA,4,1410.0,2.13,Open Ended,24-Oct-07,BSE India Infrastructure Index - TRI,58.36,69.53,50.55,2.27,-0.36,-8.29,0.39,31.62,23.99,30.22,15.35,62,46,52277,36.86,21.29,40.19,Capital Goods,-,-,-,2.65,0.28,0.52,0.78,19.19,Equity : Sectoral - Infrastructure,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco India Large & Mid Cap Fund(G),Aditya Khemani,EQ-L&M,2,6432.2,1.81,Open Ended,09-Aug-07,NIFTY LargeMidcap 250 - TRI,90.24,99.95,76.86,3.91,4.00,-1.91,14.47,30.72,21.97,24.33,14.84,63,47,58581,46.31,35.16,15.66,Financials,-,-,-,0.27,0.28,0.52,1.02,16.31,Equity : Large & Mid Cap,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco India Largecap Fund(G),Amit Nigam,EQ-LC,3,1328.9,2.09,Open Ended,21-Aug-09,NIFTY 100 - TRI,65.91,72.12,58.65,4.58,4.55,-2.25,7.93,22.55,15.93,20.83,12.52,74,47,256768,87.12,5.79,6.06,Financials,-,-,-,0.12,0.20,0.38,1.02,14.70,Equity : Large Cap,Nil 
Invesco India Liquid Fund(G),Krishna Cheemalapati,DT-LIQ,2,10945.3,0.22,Open Ended,17-Nov-06,Nifty Liquid Fund Index,3552.38,3552.39,3311.65,0.58,1.80,3.58,7.30,7.27,6.82,5.43,6.25,0,-,-,-,-,-,-,0.18,0.18,7.01,0.16,2.47,0.96,0.28,0.30,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D
Invesco India Low Duration Fund(G),Krishna Cheemalapati,DT-LOWD,4,1430.8,0.60,Open Ended,18-Jan-07,NIFTY Low Duration Debt Index,3744.17,3744.17,3471.38,0.95,2.27,3.99,7.88,7.45,6.72,5.97,6.80,0,-,-,-,-,-,-,1.00,0.91,7.32,0.07,1.12,0.93,0.74,0.66,Debt : Low Duration,Nil
Invesco India Manufacturing Fund-Reg(G),Amit Ganatra,EQ-THEM,Unrated,746.4,2.31,Open Ended,14-Aug-24,Nifty India Manufacturing - TRI,9.42,10.79,8.43,2.83,-0.94,-6.44,-,-,-,-,-,12,62,54883,44.24,28.69,25.54,Healthcare,-,-,-,-,-,-,-,-,Equity : Thematic,0.50% on or before 3M Nil after 3M
Invesco India Medium Duration Fund-Reg(G),Vikas Garg,DT-MD,Unrated,165.2,1.10,Open Ended,16-Jul-21,NIFTY Medium Duration Debt Index,1232.86,1232.86,1126.60,1.60,3.22,4.96,9.56,7.73,6.61,-,-,0,-,-,-,-,-,-,5.18,3.79,7.09,-0.01,0.36,0.61,0.58,1.88,Debt : Medium Duration,NIL
Invesco India Midcap Fund(G),Aditya Khemani,EQ-MID,3,5779.3,1.82,Open Ended,19-Apr-07,BSE 150 MidCap - TRI,157.17,177.14,132.35,2.99,3.10,-2.92,16.14,31.58,23.18,28.88,16.69,48,47,46955,25.78,55.23,18.79,Financials,-,-,-,0.13,0.29,0.53,0.98,17.53,Equity : Mid Cap,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco India Money Market Fund(G),Krishna Cheemalapati,DT-MM,2,5445.5,0.48,Open Ended,28-Aug-09,Nifty Money Market Index,3016.51,3016.51,2801.42,0.89,2.26,3.98,7.70,7.45,6.71,5.69,6.50,0,-,-,-,-,-,-,0.80,0.79,7.12,0.06,1.04,0.88,0.78,0.71,Debt : Money Market,Nil
Invesco India Multi Asset Allocation Fund-Reg(G),Taher Badshah,HY-MULTI,Unrated,348.7,1.86,Open Ended,17-Dec-24,NIFTY 200 - TRI,10.32,10.38,9.72,1.77,3.71,-,-,-,-,-,-,7,76,489273,35.69,0.69,-,Financials,-,-,-,-,-,-,-,-,Hybrid : Multi Asset Allocation,Nil upto 10% of units and 1% for remaining units on or before 1Y Nil after 1Y
Invesco India Multicap Fund(G),Dhimant Kothari,EQ-MLC,4,3650.6,1.91,Open Ended,17-Mar-08,Nifty500 Multicap 50:25:25 - TRI,122.64,141.66,110.41,2.70,-0.13,-6.53,7.50,24.43,18.25,24.13,13.51,124,64,59782,44.93,24.41,24.63,Financials,-,-,-,0.12,0.23,0.41,0.98,15.96,Equity : Multi Cap,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco India Nifty 50 ETF,Kuber Mannadi,EQ-ETF,Unrated,88.0,0.10,Open Ended,16-Jun-11,NIFTY 50 - TRI,2745.57,2946.04,2449.48,3.47,4.80,0.25,8.84,17.03,13.75,20.99,12.73,1,50,541621,99.13,0.86,-,Financials,-,-,-,-0.01,0.18,0.36,1.00,13.01,Equity : ETFs,Nil
Invesco India Nifty G-sec Jul 2027 Index Fund-Reg(G),Krishna Cheemalapati,DT-MD,Unrated,70.5,0.29,Open Ended,20-Mar-23,Nifty G-sec Jul 2027 Index,1178.60,1178.60,1079.52,1.29,2.70,4.61,9.27,7.77,-,-,-,0,-,-,-,-,-,-,2.16,1.93,6.53,0.14,1.09,1.33,0.38,1.02,Debt : Medium Duration,0.25% on or before 30D Nil after 30D
Invesco India Nifty G-sec Sep 2032 Index Fund-Reg(G),Krishna Cheemalapati,DT-LD,Unrated,50.5,0.29,Open Ended,29-Mar-23,Nifty G-Sec Sep 2032 Index,1217.99,1219.14,1085.97,2.08,4.18,6.35,12.40,9.49,-,-,-,0,-,-,-,-,-,-,6.90,5.37,6.65,0.06,0.74,1.50,0.89,2.13,Debt : Long Duration,0.25% on or before 30D Nil after 30D
Invesco India Overnight Fund-Reg(G),Krishna Cheemalapati,DT-ON,1,353.2,0.12,Open Ended,08-Jan-20,Nifty 1D Rate Index,1292.92,1292.92,1214.05,0.47,1.49,3.15,6.52,6.63,6.30,5.01,-,0,-,-,-,-,-,-,0.01,0.01,6.95,0.01,2.84,0.90,0.91,0.21,Debt : Overnight,Nil
Invesco India PSU Equity Fund(G),Dhimant Kothari,EQ-THEM,1,1217.4,2.18,Open Ended,18-Nov-09,BSE PSU - TRI,59.74,70.92,49.35,4.10,6.25,-5.06,0.54,36.30,30.42,28.46,16.24,56,24,130325,70.09,23.28,5.97,Energy,-,-,-,-0.12,0.31,0.67,0.97,22.21,Equity : Thematic,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco India Short Duration Fund(G),Vikas Garg,DT-SD,3,714.7,1.05,Open Ended,24-Mar-07,Nifty Short Duration Debt Index,3536.43,3536.43,3246.55,1.44,2.92,4.70,9.04,7.70,6.56,5.94,6.58,0,-,-,-,-,-,-,3.55,2.82,7.16,-0.08,0.52,0.75,1.38,1.31,Debt : Short Duration,Nil
Invesco India Smallcap Fund-Reg(G),Taher Badshah,EQ-SML,2,5884.6,1.79,Open Ended,30-Oct-18,BSE 250 Small Cap - TRI,37.51,44.26,33.31,2.50,-0.82,-7.42,9.00,30.83,22.77,32.48,-,30,77,22732,4.87,27.2,63,Financials,-,-,-,0.45,0.27,0.48,0.86,18.14,Equity : Small Cap,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco India Technology Fund-Reg(G),Hiten Jain,EQ-TECH,Unrated,297.7,2.30,Open Ended,23-Sep-24,NIFTY IT - TRI,8.73,10.88,7.78,1.63,-7.42,-10.54,-,-,-,-,-,2,23,132726,46.57,39.06,12.26,Technology,-,-,-,-,-,-,-,-,Equity : Sectoral - Technology,0.50% on or before 3M Nil after 3M
Invesco India Ultra Short Duration Fund(G),Krishna Cheemalapati,DT-USD,2,858.8,0.74,Open Ended,30-Dec-10,NIFTY Ultra Short Duration Debt Index,2668.98,2668.98,2485.11,0.77,2.05,3.81,7.42,7.26,6.58,5.41,6.54,0,-,-,-,-,-,-,0.59,0.54,7.49,0.09,1.30,0.88,0.56,0.54,Debt : Ultra Short Duration,Nil
ITI Arbitrage Fund-Reg(G),Laukik Bagwe,HY-ARB,Unrated,47.7,0.93,Open Ended,09-Sep-19,Nifty 50 Arbitrage,12.84,12.84,11.98,0.70,1.95,3.68,7.19,7.33,5.99,4.50,-,-,29,135616,43.49,25.83,4.46,Financials,-,-,4.99,-0.03,0.73,0.85,0.75,0.69,Hybrid : Arbitrage,0.25% on or before 30D NIL after 30D
ITI Balanced Advantage Fund-Reg(G),Rajesh Bhatia,HY-DYN,Unrated,382.8,2.37,Open Ended,31-Dec-19,NIFTY 50 Hybrid Composite Debt 50:50 Index,13.96,14.62,12.86,1.41,2.17,-0.59,3.76,14.04,10.45,10.02,-,638,39,369992,55.29,4.09,3.75,Financials,0.20,0.18,6.84,0.09,0.20,0.40,0.53,7.75,Hybrid : Dynamic Asset Allocation,Nil upto 10% of units and 1% for remaining units on or before 3M Nil after 3M
ITI Banking & Financial Services Fund-Reg(G),Nilay Dalal,EQ-FIN,Unrated,287.8,2.36,Open Ended,06-Dec-21,Nifty Financial Services - TRI,14.60,14.89,12.21,3.64,10.96,6.36,10.52,15.85,15.25,-,-,115,30,365321,79.4,9.36,8.04,Financials,0.20,0.19,3.51,-0.03,0.19,0.40,0.91,14.57,Equity : Sectoral - Financial Services,1% on or before 12M Nil after 12M
ITI Banking & PSU Debt Fund-Reg(G),Laukik Bagwe,DT-B&PSU,Unrated,34.8,0.70,Open Ended,22-Oct-20,CRISIL Banking and PSU Debt Index,12.92,12.92,11.91,1.20,2.63,4.39,8.57,7.53,6.83,-,-,0,-,-,-,-,-,-,6.32,3.37,7.31,-0.06,0.92,1.00,0.82,0.84,Debt : Banking & PSU,Nil
ITI Bharat Consumption Fund-Reg(G),Rohan Korde,EQ-CONS,Unrated,160.5,2.34,Open Ended,27-Feb-25,Nifty India Consumption - TRI,10.74,10.98,9.88,4.13,-,-,-,-,-,-,-,-,57,145484,67.77,12.63,13.57,FMCG,-,-,-,-,-,-,-,-,Equity : Thematic - Consumption,0.50% on or before 3M Nil after 3M
ITI Dynamic Bond Fund-Reg(G),Laukik Bagwe,DT-DYN,Unrated,39.6,1.19,Open Ended,14-Jul-21,CRISIL Dynamic Bond Index,12.60,12.64,11.44,1.37,2.97,5.03,10.47,8.20,7.12,-,-,0,-,-,-,-,-,-,16.58,8.40,6.73,-0.23,0.53,1.05,0.99,1.69,Debt : Dynamic Bond,Nil
ITI ELSS Tax Saver Fund-Reg(G),Alok Ranjan,EQ-ELSS,Unrated,377.7,2.32,Open Ended,18-Oct-19,NIFTY 500 - TRI,22.17,26.27,20.18,1.52,1.44,-7.77,-0.37,24.22,19.03,21.30,-,103,70,45324,41.17,9.38,44.1,Financials,-,-,-,0.33,0.26,0.48,1.01,15.49,Equity : Tax Saving (ELSS),Nil
ITI Flexi Cap Fund-Reg(G),Dhimant Shah,EQ-FLEX,Unrated,1031.8,2.05,Open Ended,17-Feb-23,NIFTY 500 - TRI,16.37,18.93,14.76,2.16,1.81,-8.60,2.36,24.94,-,-,-,109,64,105974,53.15,8.77,33.68,Financials,-,-,-,0.15,0.37,0.67,1.16,16.01,Equity : Flexi Cap,1% on or before 12M Nil after 12M
ITI Focused Equity Fund-Reg(G),Dhimant Shah,EQ-FLEX,Unrated,478.5,2.31,Open Ended,19-Jun-23,NIFTY 500 - TRI,14.10,15.54,12.58,2.16,3.96,-3.92,6.78,-,-,-,-,79,30,135862,59,9.11,29.21,Financials,-,-,-,0.20,0.30,0.55,0.98,14.36,Equity : Flexi Cap,1% on or before 12M Nil after 12M
ITI Large & Mid Cap Fund-Reg(G),Alok Ranjan,EQ-L&M,Unrated,780.8,2.18,Open Ended,11-Sep-24,NIFTY LargeMidcap 250 - TRI,9.02,10.29,8.18,1.33,1.47,-6.44,-,-,-,-,-,-,83,88833,45.06,30.99,21.58,Financials,-,-,-,-,-,-,-,-,Equity : Large & Mid Cap,0.50% on or before 3M Nil after 3M
ITI Large Cap Fund-Reg(G),Alok Ranjan,EQ-LC,Unrated,472.6,2.37,Open Ended,24-Dec-20,NIFTY 100 - TRI,16.79,18.80,15.34,0.82,2.32,-3.81,-1.42,17.31,13.55,-,-,78,68,250780,81.8,4.94,12.15,Financials,-,-,-,0.02,0.17,0.34,0.99,14.17,Equity : Large Cap,1% on or before 3M Nil after 3M
ITI Liquid Fund-Reg(G),Laukik Bagwe,DT-LIQ,Unrated,48.2,0.25,Open Ended,24-Apr-19,CRISIL Liquid Debt Index,1346.40,1346.40,1258.87,0.57,1.73,3.45,6.97,6.90,6.49,5.09,-,0,-,-,-,-,-,-,0.15,0.15,7.04,-0.02,2.53,0.92,0.95,0.26,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D
